Fragrance Note,Image,Group,Description
Bergamot,https://fimgs.net/mdimg/sastojci/m.75.jpg?1441385204,CITRUS SMELLS,"citrusy, bitter & tart, elegant, light note with mild spicy tone, complex with nuances of fruit and aromatic elements, reminiscent of eau de Cologne, it flavors Earl Grey tea."
Bitter Orange,https://fimgs.net/mdimg/sastojci/m.79.jpg?1440725941,CITRUS SMELLS,"It is inedible tart citrus, known as ""bigarade"". It is intensely scented."
Blood Orange,https://fimgs.net/mdimg/sastojci/m.286.jpg?1440725523,CITRUS SMELLS,"It is a mutation of the sweet orange, very sweet and juicy, with a sweet taste and smell."
Calamansi,https://fimgs.net/mdimg/sastojci/m.1028.jpg?1575996335,CITRUS SMELLS,NULL
Chinotto,https://fimgs.net/mdimg/sastojci/m.866.jpg?1598651656,CITRUS SMELLS,"A citrus note sweet and aromatic, this fruit is used and associated with chinotto beverage. "
Citron,https://fimgs.net/mdimg/sastojci/m.373.jpg?1440724256,CITRUS SMELLS,a bright dry citrus note.
Citruses,https://fimgs.net/mdimg/sastojci/m.313.jpg?1440724966,CITRUS SMELLS,A category of hesperidic fruits of different varieties.
Clementine,https://fimgs.net/mdimg/sastojci/m.84.jpg?1440730629,CITRUS SMELLS,"a variety of mandarin orange without seeds, known as ""Christmas mandarin"", sweet and juicy. "
Finger Lime,https://fimgs.net/mdimg/sastojci/m.881.jpg?1598640078,CITRUS SMELLS,"A fresh and sweet, clean citrus fragrance with balsamic coumarin undertones. "
Grapefruit,https://fimgs.net/mdimg/sastojci/m.76.jpg?1440740037,CITRUS SMELLS,"A bitter aromatic citrus scent with a ""dirty"" undertone reminiscent of black currant. "
Hassaku,https://fimgs.net/mdimg/sastojci/m.445.jpg?1500531083,CITRUS SMELLS,"Japanese citrus variant, similar in scent profile to mandarine orange."
Hatkora lemon,https://fimgs.net/mdimg/sastojci/m.639.jpg?1500471627,CITRUS SMELLS,NULL
Kaffir Lime,https://fimgs.net/mdimg/sastojci/m.958.jpg?1551214529,CITRUS SMELLS,NULL
Kumquat,https://fimgs.net/mdimg/sastojci/m.81.jpg?1440730952,CITRUS SMELLS,"a very small citrus fruit with a sweet flavor and sour center, lemony-piney scent, with a bitter nuance."
Lemon,https://fimgs.net/mdimg/sastojci/m.77.jpg?1440731353,CITRUS SMELLS,"astringent, sour, sweet undertone, aromatic nuance, bright, cheerful & vibrant."
